doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,La(CH3SO3)3,,8 mmol,8,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.8–6.1",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Slow evaporation of clear solution at 70–80 °C for 5 days; air-dried.,75,120,colourless parallelepiped crystals,8,,pcu,rod-like La–O–C SBUs,"P-1, a=8.3712 Å, b=9.8819 Å, c=10.2680 Å, α=105.245°, β=105.311°, γ=93.668°",,,yes,not_reported,375,,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Nd(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.8–6.0",,,water,H2O,7 mL (metal solution) + 4 mL (ligand solution),11,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,colorless columnar crystals,20,,nbo,rod-like Nd–O–C SBUs,"Pbca, a=6.9070 Å, b=21.897 Å, c=23.151 Å",,,yes,not_reported,420,,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Sm(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.5–5.8",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,colourless parallelepiped crystals,20,,,rod-like Sm–O–C SBUs via binuclear Sm2(COO)2 units,,,,yes,not_reported,,,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Eu(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.5–5.8",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,colourless parallelepiped crystals,25,,,rod-like Eu–O–C SBUs via binuclear Eu2(COO)2 units,"C2/c, a=16.7909 Å, b=11.3883 Å, c=15.3276 Å, β=90.119°",,,yes,not_reported,375,luminescence,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Gd(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.5–5.8",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,colourless parallelepiped crystals,26,,,rod-like Gd–O–C SBUs via binuclear Gd2(COO)2 units,,,,yes,not_reported,,,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Tb(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.5–5.8",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,colourless parallelepiped crystals,33,,,rod-like Tb–O–C SBUs via binuclear Tb2(COO)2 units,"C2/c, a=16.7322 Å, b=11.3501 Å, c=15.2871 Å, β=90.040°",,,yes,not_reported,300,luminescence,10.1039/c6nj00822d,ok,
10.1039/c6nj00822d,yes,Compound 2 under slow evaporation showed poor repeatability; conditions sensitive and PXRD varied; other Ln gave microcrystalline solids under similar conditions.,,,Er(CH3SO3)3,,4 mmol,4,mmol,,,,,,,,,,,2-nitroterephthalic acid,H2NTA,0.5 mmol,0.5,mmol,,,,,,,,,,,sodium hydroxide,NaOH,"0.35 M, 2.85 mL (for deprotonation)",2.85,mL,sodium hydroxide,NaOH,"0.35 M, added dropwise to pH 5.5–5.8",,,water,H2O,9 mL (metal solution) + 4 mL (ligand solution),13,,,,,180,180 °C,72,3 days,25 mL Teflon-lined stainless steel autoclave,static,,,Filtered and air-dried.,,,pink parallelepiped crystals,30,,,rod-like Er–O–C SBUs via binuclear Er2(COO)2 units,"C2/c, a=16.6713 Å, b=11.2905 Å, c=15.2129 Å, β=90.224°",,,yes,not_reported,375,,10.1039/c6nj00822d,ok,
10.1021/ic000209d,yes,Other trivalent lanthanide analogues were not successful.,[Er(C9H9O6)(H2O)2]·2.5H2O,,Er(NO3)3·5H2O,,"0.353 g, 0.80 mmol",0.8,mmol,,,,,,,,,,,"cis,cis-1,3,5-cyclohexanetricarboxylic acid",H3CTC,"0.216 g, 1.0 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,15 mL,15,,,,,170,170 °C,24,24 h,Teflon-lined Parr bomb,static,"water, ethanol, acetone",thoroughly,air-dried,,,"large, pink crystals",80,0.12 × 0.10 × 0.04 mm,,Er(III) 9-coordinate; carboxylate-bridged,"a=13.4186(2) Å, b=12.2468(2) Å, c=15.9193(3) Å, β=92.1430(10)°, C 2/c",4.7,,not_reported,not_reported,480,,10.1021/ic000209d,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ca(L-Tar)(H2O)2]·2H2O,,Ca(CH3COO)2,,"176.2 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.2 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,25,room temperature (RT),0.1,immediate precipitation,glass scintillation vial,static,water,,,,,white powder,,,,I0O3,,,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ca(L-Tar)],,Ca(CH3COO)2,,"176.2 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,125,125 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,91,,,I1O2 3-D framework,"C2221; a=7.6418 Å, b=9.9656 Å, c=7.2395 Å",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Ca(D,L-Tar)(H2O)4]",,Ca(CH3COO)2,,"176.2 mg, 1 mmol",1,mmol,,,,,,,,,,,"D,L-tartaric acid",,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,60,60 °C,48,48 h,glass scintillation vial,static,water,,,,,colorless crystals,72,,,I0O1 (1-D coordination polymer),"P-1; a=6.2584 Å, b=8.251 Å, c=10.448 Å; α=94.887°, β=105.914°, γ=107.662°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Ca(D,L-Tar)]2·H2O",,Ca(CH3COO)2,,"176.2 mg, 1 mmol",1,mmol,,,,,,,,,,,"D,L-tartaric acid",,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,200,200 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,white to off-white powder,,,,,,,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ca(meso-Tar)(H2O)2]·H2O,,Ca(CH3COO)2,,"176.1 mg, 1 mmol",1,mmol,,,,,,,,,,,meso-tartaric acid hydrate,,"168.3 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,25,room temperature (RT),0.1,immediate precipitation,glass scintillation vial,static,water,,,,,white powder,,,,I0O2 (2-D overall),,,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ca(meso-Tar)]·2H2O,,Ca(CH3COO)2,,"176.0 mg, 1 mmol",1,mmol,,,,,,,,,,,meso-tartaric acid hydrate,,"168.0 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,100,100 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,numerous colorless very fine plates,74,,,,,,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ca(meso-Tar)],,Ca(CH3COO)2,,"176.2 mg, 1 mmol",1,mmol,,,,,,,,,,,meso-tartaric acid hydrate,,"168.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,150,150 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,61,,,I1O2 3-D framework,"C2/c; a=17.593 Å, b=7.906 Å, c=9.462 Å; β=121.066°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Sr(L-Tar)(H2O)2]·2H2O,,Sr(CH3COO)2,,"205.9 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.3 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,25,"room temperature (RT, uncovered)",144,6 days,glass scintillation vial,static,water,,,,,large colorless blocks,,,,I0O3,,,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Sr(L-Tar)(H2O)3],,Sr(CH3COO)2,,"205.8 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.2 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,60,60 °C,48,48 h (closed vial),glass scintillation vial,static,water,,,,,colorless fine rectangular plates,,,,,P-1 (reported previously),,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Sr(L-Tar)(H2O)],,Sr(CH3COO)2,,"205.7 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,60,60 °C,48,48 h,glass scintillation vial,static,water,,,,,colorless crystals (hexagonal plates),93,,,I1O2 3-D overall (1-D M–O–M chains),"P21; a=6.6143 Å, b=7.1191 Å, c=7.8433 Å; β=98.334°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Sr(L-Tar)],,Sr(CH3COO)2,,"205.7 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,150,150 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,65,,,I1O2 3-D framework,"C2221; a=7.8865 Å, b=10.0448 Å, c=7.5186 Å",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Sr(D,L-Tar)(H2O)4]",,Sr(CH3COO)2,,"205.7 mg, 1 mmol",1,mmol,,,,,,,,,,,"D,L-tartaric acid",,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,100,100 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,73,,,I0O1 (1-D coordination polymer),"P-1; a=6.4031 Å, b=8.4315 Å, c=10.4933 Å; α=95.196°, β=106.402°, γ=107.052°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Sr(meso-Tar)],,Sr(CH3COO)2,,"205.7 mg, 1 mmol",1,mmol,,,,,,,,,,,meso-tartaric acid hydrate,,"168.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,125,125 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,76,,,I1O2 3-D framework,"C2/c; a=18.306 Å, b=8.0984 Å, c=9.6058 Å; β=121.334°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ba(L-Tar)],,Ba(CH3COO)2,,"255.5 mg, 1 mmol",1,mmol,,,,,,,,,,,L-tartaric acid,,"150.2 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,25,room temperature (RT),24,12–24 h (stirred),glass vial,stirred,water,thoroughly,,,,white powder,,,,I1O2 (1-D Ba–O chains; 3-D overall),"P212121; a=8.328 Å, b=10.116 Å, c=7.2451 Å (literature)",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Ba2(D,L-Tar)2(H2O)5]",,Ba(CH3COO)2,,"64.0 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,"D,L-tartaric acid",,"37.8 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,20 mL,20,,,,,25,"room temperature (RT, uncovered)",48,1–2 days (evaporation),glass vial,static,water,,,,,small colorless crystals (forms with 16 as mixture),,,,I1O1 (2-D layers; 1-D M–O–M),"C2/c; a=18.7973 Å, b=5.1127 Å, c=18.5512 Å; β=104.305°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Ba(D,L-Tar)(H2O)2]",,Ba(CH3COO)2,,"64.0 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,"D,L-tartaric acid",,"37.8 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,20 mL,20,,,,,25,"room temperature (RT, uncovered)",48,1–2 days (evaporation),glass vial,static,water,,,,,small colorless crystals (forms with 15 as mixture),,,,I1O1 (2-D layers; 1-D M–O–M),"P21/c; a=6.4820 Å, b=7.9770 Å, c=16.6234 Å; β=95.501°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.","[Ba(D,L-Tar)]",,Ba(CH3COO)2,,"255.4 mg, 1 mmol",1,mmol,,,,,,,,,,,"D,L-tartaric acid",,"150.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,60,60 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,95,,,I3O0 framework (3-D Ba–O–Ba),"P21/c; a=8.328 Å, b=10.116 Å, c=7.2451 Å; β=91.338°",,,,,,,10.1021/ja905690t,ok,
10.1021/ja905690t,yes,"Disappearing pseudopolymorphs (8,10 could not be reproduced later); single crystals unobtained for 4 and 6.",[Ba(meso-Tar)(H2O)],,Ba(CH3COO)2,,"255.4 mg, 1 mmol",1,mmol,,,,,,,,,,,meso-tartaric acid hydrate,,"168.1 mg, 1 mmol",1,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,10 mL,10,,,,,100,100 °C,48,48 h,PTFE-lined stainless steel autoclave,static,water,,,,,colorless crystals,94,,,I1O2 (1-D Ba–O–Ba chains; 3-D overall),"C2/c; a=10.8268 Å, b=9.9887 Å, c=8.5250 Å; β=126.588°",,,,,,,10.1021/ja905690t,ok,
10.1002/ejic.201301010,yes,CeIII and PrIII attempts yielded formate/unknown phases; pure phase analogues unsuccessful.,[Y2(bpdc)3(H2O)4],951357,Y(NO3)3·6H2O,Y(NO3)3·6H2O,46 mg (0.12 mmol),0.12,mmol,,,,,,,,,,,"2,2'-bipyridine-5,5'-dicarboxylate",bpdc,44 mg (0.18 mmol),0.18,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,"6 mL (from DMF/H2O 1:1, total 12 mL)",6,water,H2O,"6 mL (from DMF/H2O 1:1, total 12 mL)",6,120,120 °C,72,72 h,Teflon-lined autoclave,"stirred 30 min at RT, then heated (static)",H2O,,,,,pale green crystals,60.4,,,rodlike metal–carboxylate double chain SBU; 8-coordinate MO8,,,,not_reported,not_reported,580,luminescence,10.1002/ejic.201301010,ok,
10.1002/anie.202000299,yes,"Additives without histidine (e.g., PEG, PVA, PVP, antibiotics, SiO2, Fe3O4) or histidine-free rGST failed to give ZPF-1; DIA-1 formed instead.",DIA-1,,Zn(NO3)2·6H2O,,0.143 g,0.480711,mmol,,,,,,,,,,,pyrimidin-2-ol,,0.138 g,1.43615,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,2.4 mL + 4.8 mL,7.2,,,,,25,room temperature,0.5,30 min,,,H2O,twice,,,,prismatic particles,,,dia,,,,,not_reported,not_reported,,,10.1002/anie.202000299,ok,
10.1002/anie.202000299,yes,"Additives without histidine (e.g., PEG, PVA, PVP, antibiotics, SiO2, Fe3O4) or histidine-free rGST failed to give ZPF-1; DIA-1 formed instead.",ZPF-1,1959213,Zn(NO3)2·6H2O,,"0.2 M, 2.4 mL (in H2O)",0.48,mmol,,,,,,,,,,,pyrimidin-2-ol,,"0.3 M, 4.8 mL (in H2O)",1.44,mmol,,,,,,,,,,,histidine,His,4.44 mg,4.44,mg,,,,,,water,H2O,total 7.2 mL across solutions,7.2,,,,,25,room temperature,0.5,30 min,,,H2O,twice,,,,,,,sod,,"a=23.2031(5), b=23.2031(5), c=12.4786(3) Å, α=90°, β=90°, γ=120°, R3m",6,,not_reported,not_reported,,protein_encapsulation;biocatalysis,10.1002/anie.202000299,ok,
10.1002/anie.202000299,yes,"Additives without histidine (e.g., PEG, PVA, PVP, antibiotics, SiO2, Fe3O4) or histidine-free rGST failed to give ZPF-1; DIA-1 formed instead.",ZPF-1,1959213,Zn(NO3)2·6H2O,,"0.2 M, 2.4 mL (in H2O)",0.48,mmol,,,,,,,,,,,pyrimidin-2-ol,,"0.3 M, 4.8 mL (in H2O)",1.44,mmol,,,,,,,,,,,histidine,His,5.55 mg,5.55,mg,,,,,,water,H2O,total 7.2 mL across solutions,7.2,,,,,25,room temperature,0.5,30 min,,,H2O,twice,,,,,,,sod,,"a=23.2031(5), b=23.2031(5), c=12.4786(3) Å, α=90°, β=90°, γ=120°, R3m",6,,not_reported,not_reported,,protein_encapsulation;biocatalysis,10.1002/anie.202000299,ok,
10.1002/anie.202000299,yes,"Additives without histidine (e.g., PEG, PVA, PVP, antibiotics, SiO2, Fe3O4) or histidine-free rGST failed to give ZPF-1; DIA-1 formed instead.",ZPF-1,1959213,Zn(NO3)2·6H2O,,"0.2 M, 2.4 mL (in H2O)",0.48,mmol,,,,,,,,,,,pyrimidin-2-ol,,"0.3 M, 4.8 mL (in H2O)",1.44,mmol,,,,,,,,,,,histidine,His,7.40 mg,7.4,mg,,,,,,water,H2O,total 7.2 mL across solutions,7.2,,,,,25,room temperature,0.5,30 min,,,H2O,twice,,,,,,,sod,,"a=23.2031(5), b=23.2031(5), c=12.4786(3) Å, α=90°, β=90°, γ=120°, R3m",6,,not_reported,not_reported,,protein_encapsulation;biocatalysis,10.1002/anie.202000299,ok,
10.1002/anie.202000299,yes,"Additives without histidine (e.g., PEG, PVA, PVP, antibiotics, SiO2, Fe3O4) or histidine-free rGST failed to give ZPF-1; DIA-1 formed instead.",ZPF-1,1959213,Zn(NO3)2·6H2O,,0.143 g,0.480711,mmol,,,,,,,,,,,pyrimidin-2-ol,,0.138 g,1.43615,mmol,,,,,,,,,,,2-methyl imidazole,HMIM,0.039 g,0.039,g,,,,,,water,H2O,2.4 mL + 4.8 mL,7.2,,,,,25,room temperature,0.5,30 min,,,H2O,twice,,,,,,,sod,,"a=23.2031(5), b=23.2031(5), c=12.4786(3) Å, α=90°, β=90°, γ=120°, R3m",6,,not_reported,not_reported,,protein_encapsulation;biocatalysis,10.1002/anie.202000299,ok,
10.1002/cctc.201402546,yes,Zr-NDC-NH2(100) gave amorphous solid; 50% sample also amorphous.,Zr-NDC,,ZrCl4,ZrCl4,"0.4 g, 1.7 mmol",1.7,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",NDC,1.7 mmol,1.7,mmol,,,,,,,,,,,acetic acid,AcOH,"2.85 mL, 850 mmol",,,water,H2O,"0.125 mL, 0.007 mmol",,,dimethylformamide,DMF,75 mL + 25 mL,100,,,,,120,120 °C,24,24 h,,static,"DMF, THF",DMF 10 mL; THF several times,100 °C under reduced pressure for 3 h,100,3,octahedra,80,~0.4 μm,,Zr6O4(OH)4 12-connected SBU,,,1340,not_reported,not_reported,,Knoevenagel;cascade_reactions,10.1002/cctc.201402546,ok,
10.1002/cctc.201402546,yes,Zr-NDC-NH2(100) gave amorphous solid; 50% sample also amorphous.,Zr-NDC-NH2(20),,ZrCl4,ZrCl4,"0.4 g, 1.7 mmol",1.7,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",NDC,1.36 mmol,1.36,mmol,"4-aminonaphthalene-2,6-dicarboxylic acid",NDC-NH2,0.34 mmol,0.34,mmol,,,,,,acetic acid,AcOH,"2.85 mL, 850 mmol",,,water,H2O,"0.125 mL, 0.007 mmol",,,dimethylformamide,DMF,75 mL + 25 mL,100,,,,,120,120 °C,24,24 h,,static,"DMF, THF",DMF 10 mL; THF several times,100 °C under reduced pressure for 3 h,100,3,octahedra,80,~0.4 μm,,Zr6O4(OH)4 12-connected SBU,,,1053.6,yes,not_reported,518,Knoevenagel;cascade_reactions,10.1002/cctc.201402546,ok,
10.1002/cctc.201402546,yes,Zr-NDC-NH2(100) gave amorphous solid; 50% sample also amorphous.,Zr-NDC-NH2(35),,ZrCl4,ZrCl4,"0.4 g, 1.7 mmol",1.7,mmol,,,,,,,,,,,"2,6-naphthalenedicarboxylic acid",NDC,1.105 mmol,1.105,mmol,"4-aminonaphthalene-2,6-dicarboxylic acid",NDC-NH2,0.595 mmol,0.595,mmol,,,,,,acetic acid,AcOH,"2.85 mL, 850 mmol",,,water,H2O,"0.125 mL, 0.007 mmol",,,dimethylformamide,DMF,75 mL + 25 mL,100,,,,,120,120 °C,24,24 h,,static,"DMF, THF",DMF 10 mL; THF several times,100 °C under reduced pressure for 3 h,100,3,octahedra,80,~0.4 μm,,Zr6O4(OH)4 12-connected SBU,,,,not_reported,not_reported,,Knoevenagel;cascade_reactions,10.1002/cctc.201402546,ok,
10.1039/c3dt53167h,yes,Pure ethanol or pure water gave no crystalline product; L/M ratios and temperatures were scanned; best at L/M 0.8 and 140 °C.,,969636,Al2(SO4)3·18H2O,,"0.125 mmol, 0.0833 g",0.125,mmol,,,,,,,,,,,"(2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene)triphosphonic acid",H6L,"0.2 mmol, 0.0841 g",0.2,mmol,,,,,,,,,,,,,,,,,,,,,ethanol,EtOH,9 mL,9,water,H2O,1 mL,1,140,140 °C,72,3 days,Teflon-lined autoclave,stirred (before sealing),deionized water,,"solvent-exchanged in acetone for three weeks, then 100 °C under vacuum (~10^-6 mbar) for 6 h",100,6,colorless cubic crystals,88,,,AlO6 octahedra; 1D aluminum phosphate chains,"a=35.285(3), b=35.285(3), c=12.398(3) Å, α=90°, β=90°, γ=120°, R-3",12.4,687.2,not_reported,yes,,CO2_capture;hydrogen storage,10.1039/c3dt53167h,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956417,La(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,40,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,307,,10.1021/cg401825f,ok,
